"Date","Time","TESTA","CASSERO","TRAVERSA","SET KN ","KN 1","KN 2","KN 3","KN 4","RES.1","RES.2","RES.3","RES.4","MIN","MAX"
"16/01/28","15:47:47","    1","  124","    1","  89.1","  88.9","  88.8","  88.7","  89.0","  73.1","  71.6","  70.4","  76.2","  64.9","  83.9"
"16/01/28","15:47:48","    2","  124","    3","  89.1","  88.6","  88.7","  88.4","  88.7","  75.3","  73.3","  73.3","  71.7","  64.9","  83.9"
"16/01/28","15:48:14","    1","  124","    2","  89.1","  88.5","  88.5","  88.7","  88.9","  71.2","  73.1","  72.9","  73.4","  64.9","  83.9"
"16/01/28","15:48:15","    2","  124","    4","  89.1","  88.8","  88.5","  88.6","  88.5","  71.2","  72.0","  74.0","  75.2","  64.9","  83.9"
"16/01/28","15:49:01","    1","  197","    1","  89.1","  88.8","  88.7","  88.6","  88.9","  73.6","  72.7","  72.5","  73.8","  64.9","  83.9"
"16/01/28","15:49:02","    2","  197","    3","  89.1","  88.5","  88.6","  88.3","  88.5","  74.5","  70.4","  74.3","  73.8","  64.9","  83.9"
"16/01/28","15:49:28","    1","  197","    2","  89.1","  88.6","  88.5","  88.8","  89.0","  73.3","  71.4","  71.6","  76.0","  64.9","  83.9"
"16/01/28","15:49:29","    2","  197","    4","  89.1","  88.8","  88.9","  88.6","  88.9","  74.8","  71.8","  70.2","  75.1","  64.9","  83.9"
"16/01/28","16:04:54","    1","  166","    1","  89.1","  88.9","  88.8","  88.7","  88.9","  71.7","  74.6","  72.9","  72.7","  64.9","  83.9"
"16/01/28","16:04:55","    2","  166","    3","  89.1","  88.6","  88.7","  88.4","  88.7","  73.1","  73.3","  74.3","  76.0","  64.9","  83.9"
"16/01/28","16:05:27","    1","  166","    2","  89.1","  88.8","  88.7","  88.6","  88.9","  72.5","  70.9","  75.0","  75.8","  64.9","  83.9"
"16/01/28","16:05:28","    2","  166","    4","  89.1","  88.8","  88.9","  88.6","  88.6","  75.2","  70.5","  74.6","  77.4","  64.9","  83.9"
"16/01/28","16:07:02","    1","  146","    1","  89.1","  88.7","  88.7","  88.8","  89.1","  70.7","  71.6","  73.6","  76.3","  64.9","  83.9"
"16/01/28","16:07:03","    2","  146","    3","  89.1","  88.8","  88.8","  88.6","  88.8","  74.8","  73.6","  75.7","  77.5","  64.9","  83.9"
"16/01/28","16:07:29","    1","  146","    2","  89.1","  89.0","  88.9","  88.8","  89.1","  73.2","  73.1","  73.0","  77.4","  64.9","  83.9"
"16/01/28","16:07:30","    2","  146","    4","  89.1","  88.8","  88.8","  88.6","  88.8","  76.2","  73.4","  74.9","  75.4","  64.9","  83.9"
"16/01/28","16:09:15","    1","  247","    1","  89.1","  88.7","  88.7","  88.6","  88.8","  73.2","  73.6","  76.7","  76.3","  64.9","  83.9"
"16/01/28","16:09:17","    2","  247","    3","  89.1","  88.9","  88.9","  88.7","  88.6","  77.4","  71.8","  71.9","  72.0","  64.9","  83.9"
"16/01/28","16:09:42","    1","  247","    2","  89.1","  88.8","  88.5","  88.7","  89.0","  70.9","  71.6","  73.6","  77.1","  64.9","  83.9"
"16/01/28","16:09:44","    2","  247","    4","  89.1","  89.1","  88.8","  88.9","  88.8","  76.1","  69.6","  77.5","  75.3","  64.9","  83.9"
